,number_in_list,fold_enrichment,fdr,expected,number_in_reference,pValue,plus_minus,id,label
0,148,1.8545227359156842,1.6381757954596928e-05,79.80489919791893,233,7.453029096722897e-09,+,GO:0006396,RNA processing
1,112,2.031040176114474,1.560079014937663e-05,55.14415781487102,161,1.4195441446202576e-08,+,GO:0016071,mRNA metabolic process
2,101,2.091359188437023,1.8850225810399392e-05,48.293951875135484,141,2.5728242689353127e-08,+,GO:0043043,peptide biosynthetic process
3,100,2.1156668501192444,1.535279893604188e-05,47.266420984175156,138,2.7939579501441095e-08,+,GO:0006414,translational elongation
4,100,2.1156668501192444,1.2282239148833505e-05,47.266420984175156,138,2.7939579501441095e-08,+,GO:0006412,translation
5,86,2.2620481240734405,1.2028741621387737e-05,38.018642965532194,111,3.2835509430539776e-08,+,GO:0022613,ribonucleoprotein complex biogenesis
6,90,2.189715189873418,1.1619578250365924e-05,41.10123563841318,120,3.700502627505071e-08,+,GO:0006397,mRNA processing
7,109,2.001500676697715,1.4267431492451449e-05,54.45913722089747,159,5.192877704258944e-08,+,GO:0043604,amide biosynthetic process
8,117,1.8872683404433876,3.085580046177238e-05,61.994363754606546,181,1.2634313200907708e-07,+,GO:0006518,peptide metabolic process
9,86,2.0413605022126173,0.0001716285656167,42.12876652937351,123,7.808396979831665e-07,+,GO:0008380,RNA splicing
10,73,2.1748191681735984,0.00017268476721069625,33.5660091047041,98,8.642094810362415e-07,+,GO:0000398,"mRNA splicing, via spliceosome"
11,73,2.1748191681735984,0.00015829436994313823,33.5660091047041,98,8.642094810362415e-07,+,GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile"
12,73,2.1748191681735984,0.00014611787994751223,33.5660091047041,98,8.642094810362415e-07,+,GO:0000375,"RNA splicing, via transesterification reactions"
13,198,1.521275816122585,0.00024643135542610557,130.15391285497506,380,1.569626467682201e-06,+,GO:1901566,organonitrogen compound biosynthetic process
14,131,1.6775011103708637,0.0005229695208702058,78.09234771298505,228,3.5689457748194206e-06,+,GO:0043603,cellular amide metabolic process
15,569,1.2388247010071833,0.0005860456490315832,459.30630825926727,1341,4.26602838239551e-06,+,GO:0071840,cellular component organization or biogenesis
16,60,2.2458617332035056,0.0005823935695718244,26.715803164968566,78,4.504408863840316e-06,+,GO:0042254,ribosome biogenesis
18,226,1.3862062546537601,0.00555623573580032,163.03490136570562,476,4.802933529581714e-05,+,GO:0044085,cellular component biogenesis
19,698,1.1793373476324427,0.0055518769974630166,591.8577931931497,1728,5.0517534098844556e-05,+,GO:0034641,cellular nitrogen compound metabolic process
20,405,1.259261131556598,0.005443707821942207,321.61716887058316,939,5.200994734339688e-05,+,GO:0006996,organelle organization
22,260,1.3156001140776166,0.01753359215930824,197.62844136137005,577,0.00018347252941951296,+,GO:0051641,cellular localization
24,525,1.1937699633266297,0.023058834918020216,439.78322133102097,1284,0.0002622706428346248,+,GO:0016043,cellular component organization
25,42,2.151299133910726,0.02320976516032055,19.52308692824626,57,0.00027454681263345507,+,GO:0071826,ribonucleoprotein complex subunit organization
28,40,2.1626816690107833,0.02362476429036076,18.49555603728593,54,0.000311700711747253,+,GO:0022618,ribonucleoprotein complex assembly
31,39,2.14839980893241,0.02912956135677833,18.153045740299156,53,0.00042408824541260537,+,GO:0006364,rRNA processing
32,129,1.4654903216273458,0.029902595101840533,88.02514632560155,257,0.0004489470602187159,+,GO:0043933,protein-containing complex subunit organization
35,40,2.123360184119678,0.03152052909998458,18.838066334272707,55,0.0005162598032754527,+,GO:0016072,rRNA metabolic process
36,1933,1.0608319453697534,0.033030732991171305,1822.1547799696511,5320,0.0005560223478950583,+,GO:0009987,cellular process
38,209,1.3294131435978047,0.03431887947804699,157.2122263169304,459,0.0006089337123038364,+,GO:0051649,establishment of localization in cell
40,170,1.3673152700770652,0.04199761586888623,124.33123780619987,363,0.0007833950184824092,+,GO:0046907,intracellular transport
43,215,1.307746571729958,0.045488671090653375,164.40494255365272,480,0.0009106012411231795,+,GO:0009056,catabolic process
44,135,1.412719477337689,0.051497233504975704,95.56037285931063,279,0.001054310968027255,+,GO:0071705,nitrogen compound transport
46,1070,1.102326630517317,0.05186303867358939,970.6741816605246,2834,0.0011089912728201553,+,GO:0044237,cellular metabolic process
